;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
15993;;;;;;;;;;;;;;;;;;;;Matheus Bezerra;99258;Sport;SPO;0;0.0;Matheus Bezerra Santos;0.0;mei;1.0;19;Nulo;0.0
15994;;;;;;12.0;1.0;3.0;9.0;;1.0;;;;24.0;;15.0;3.0;;Gabriel;87393;Atletico-MG;ATL;11;3.9;Gabriel Costa Franca;0.0;zag;9.0;19;Provavel;0.0
15995;;1.0;;;;9.0;;1.0;6.0;;;;;;24.0;;11.0;2.0;;Caique Sa;87437;Vitoria;VIT;5;3.74;Caique Silva Sa;4.8;lat;3.05;19;Provavel;0.17
15996;;5.0;;;;20.0;;2.0;8.0;1.0;;;;1.0;31.0;;14.0;7.0;;Kannemann;87342;Gremio;GRE;14;2.7;Walter Kannemann;0.0;zag;9.94;19;Nulo;0.0
15997;;;;;;5.0;;1.0;4.0;;;;;;10.0;;3.0;1.0;;Buffarini;87350;Sao Paulo;SAO;3;2.43;Julio Buffarini;0.0;lat;7.05;19;Provavel;0.0
15998;;2.0;;;;6.0;1.0;4.0;12.0;;;;;;20.0;;9.0;;;Vitor Bueno;87552;Santos;SAN;8;1.51;Vitor Frezarin Bueno;0.0;mei;9.29;19;Contundido;0.0
15999;1.0;3.0;;;;23.0;1.0;1.0;21.0;;;;;;47.0;;14.0;5.0;;Matheus Reis;87486;Bahia;BAH;15;2.29;Matheus Reis de Lima;0.0;lat;5.41;19;Provavel;0.0
16000;;1.0;;;;16.0;1.0;3.0;3.0;1.0;2.0;;;3.0;16.0;;1.0;;;Trellez;87679;Vitoria;VIT;5;1.9;Santiago Trellez Vivero;1.1;ata;2.48;19;Provavel;-1.56
16001;;;;;;;;;;;;;;;;;;;;Leo Santos;87743;Coritiba;COR;0;0.0;Leonardo Araujo dos Santos;0.0;ata;3.0;19;Nulo;0.0
16002;;1.0;;;;2.0;;;;;;;;;;;;;;Fernando Guerrero;87872;Chapecoense;CHA;2;-1.5;Fernando Alexander Guerrero Vasquez;0.0;mei;2.89;19;Nulo;0.03
16003;;;;;;;;;;;;;;;;;;;;Henrique;99283;Avai;AVA;0;0.0;Junior Henrique Eichelberger;0.0;zag;3.0;19;Nulo;0.0
16004;;;;;;4.0;5.0;3.0;10.0;;;;;;18.0;;5.0;;;Arrascaeta;87863;Cruzeiro;CRU;4;3.3;Giorgian Daniel de Arrascaeta Benedetti;0.0;mei;8.08;19;Contundido;0.0
16005;;;;;;;;;;;;;;;;;;;;Borges;99379;Atletico-GO;ATL;0;0.0;Guilherme Borges Neves;0.0;mei;1.0;19;Nulo;0.0
16006;;1.0;;;;6.0;2.0;1.0;1.0;;;;;;4.0;;1.0;;;Felipe Gedoz ;87864;Atletico-PR;ATL;4;-0.32;Felipe Gedoz da Conceicao;0.0;mei;7.22;19;Nulo;0.0
16007;;;;;;;;;;;;;;;;;;;;Lucas indio;99353;Atletico-MG;ATL;0;0.0;Lucas de Oliveira Antunes;0.0;ata;1.0;19;Nulo;0.0
16008;;1.0;;;;1.0;1.0;1.0;2.0;;1.0;;;;5.0;;2.0;;;Sornoza;87877;Fluminense;FLU;2;5.05;Junior Nazareno Sornoza Moreira;0.0;mei;15.81;19;Nulo;0.0
16009;;;;;;;;;;;;;;;;;;;;Vinicius;99356;Sport;SPO;0;0.0;Jose Vinicius Almeida Soares;0.0;mei;2.0;19;Nulo;0.0
16010;;2.0;1.0;;;15.0;;;22.0;;;;;;22.0;;20.0;;;Orejuela;87874;Fluminense;FLU;14;1.56;Jefferson Gabriel Orejuela Izquierdo;0.0;mei;8.14;19;Provavel;0.0
16011;;;;;;;;;;;;;;;;;;;;Alexsander;99411;Atletico-PR;ATL;0;0.0;Alexsander Jhonatta de Oliveira Andrade;0.0;mei;1.0;19;Nulo;0.0
16012;;;;;;;;;;;;;;;;;;;;Zeballos;87859;Chapecoense;CHA;0;0.0;Emilio Enrique Zeballos Gutierrez;0.0;lat;3.0;19;Nulo;0.0
